Id;TasaInteres; saldo_sol ;Edad;EstadoCivil;REGION;CrossSell;ratio.ant;Fuga
96;4,16;11786,2;56;Div.Sol.Viu;LIMA_CALLAO;3;1;0
97;4,16;5103,85;63;Div.Sol.Viu;NORTE.SUR;1;1;0
98;4,16;5392,76;53;Div.Sol.Viu;LIMA_CALLAO;1;1;0
100;4,88;2588,46;25;Div.Sol.Viu;LIMA_CALLAO;1;1;0
101;4,16;2323,65;54;Div.Sol.Viu;LIMA_CALLAO;1;0,99;0
102;4,16;5896,8;50;Div.Sol.Viu;LIMA_CALLAO;3;0,5;0
104;4,16;4732,92;34;Cas.Conv;NORTE.SUR;3;0,99;0
105;4,88;1827,04;32;Div.Sol.Viu;LIMA_CALLAO;2;0,88;0
106;4,16;1292,66;41;Div.Sol.Viu;NORTE.SUR;2;0,44;0
107;4,16;8082,93;51;Div.Sol.Viu;LIMA_CALLAO;1;0,3;0
108;4,16;4544,74;46;Div.Sol.Viu;LIMA_CALLAO;2;0,16;0
109;4,16;5373,67;30;Div.Sol.Viu;LIMA_CALLAO;1;1;0
110;4,16;11829,3;64;Cas.Conv;NORTE.SUR;1;1;0
111;4,88;1853,88;26;Div.Sol.Viu;NORTE.SUR;2;0,35;0
112;4,16;8477,62;30;Div.Sol.Viu;LIMA_CALLAO;1;1;0
113;4,16;7063,01;37;Cas.Conv;LIMA_CALLAO;3;1;0
114;4,88;3211,83;42;Div.Sol.Viu;LIMA_CALLAO;1;1;0
115;4,16;4689,18;28;Div.Sol.Viu;LIMA_CALLAO;1;0,97;0
116;4,16;11101,81;36;Div.Sol.Viu;LIMA_CALLAO;1;1;0
117;4,16;5621,87;64;Cas.Conv;NORTE.SUR;1;1;0
118;4,16;6948,34;27;Div.Sol.Viu;LIMA_CALLAO;1;1;0
119;4,88;16848,85;56;Cas.Conv;LIMA_CALLAO;2;1;0
121;4,16;2959,64;56;Cas.Conv;LIMA_CALLAO;1;1;0
122;4,16;16339,8;49;Div.Sol.Viu;NORTE.SUR;2;1;0
123;4,16;14091,45;38;Div.Sol.Viu;LIMA_CALLAO;2;0,6;0
124;4,16;10318,2;56;Div.Sol.Viu;LIMA_CALLAO;3;0,53;0
125;4,16;1516,62;47;Div.Sol.Viu;LIMA_CALLAO;1;0,22;0
126;4,88;1790,74;23;Div.Sol.Viu;LIMA_CALLAO;2;0,77;0
127;4,16;13936,95;52;Cas.Conv;LIMA_CALLAO;3;0,54;0
128;4,16;8292,69;25;Div.Sol.Viu;LIMA_CALLAO;2;0,92;0
129;4,88;4154,98;33;Div.Sol.Viu;NORTE.SUR;3;0,16;0
130;4,16;23405;40;Cas.Conv;LIMA_CALLAO;3;0,31;0
131;4,16;793,95;46;Cas.Conv;LIMA_CALLAO;2;0,97;0
132;4,88;4427,99;37;Div.Sol.Viu;NORTE.SUR;1;0,77;0
133;4,16;4323,33;45;Div.Sol.Viu;LIMA_CALLAO;1;1;0
135;4,16;5300,37;43;Div.Sol.Viu;LIMA_CALLAO;2;0,92;0
136;4,88;7672,95;43;Div.Sol.Viu;LIMA_CALLAO;3;0,13;0
137;4,16;3739,77;35;Div.Sol.Viu;LIMA_CALLAO;1;1;0
138;4,16;2258,34;37;Div.Sol.Viu;NORTE.SUR;1;1;0
139;4,16;1154,07;44;Cas.Conv;NORTE.SUR;1;1;0
140;4,88;1023,83;58;Div.Sol.Viu;CENTRO;4;0,12;0
142;4,16;5714,08;37;Cas.Conv;LIMA_CALLAO;1;1;0
143;4,16;9093,34;47;Div.Sol.Viu;LIMA_CALLAO;1;1;0
145;4,16;9856,37;65;Cas.Conv;LIMA_CALLAO;1;1;0
146;4,88;24465,61;31;Div.Sol.Viu;LIMA_CALLAO;3;0,83;0
147;4,16;27031,84;49;Cas.Conv;LIMA_CALLAO;3;1;0
148;4,88;1606,1;20;Div.Sol.Viu;NORTE.SUR;1;0,6;0
149;4,16;4668,28;37;Div.Sol.Viu;NORTE.SUR;1;1;0
150;4,16;7430,96;64;Cas.Conv;LIMA_CALLAO;1;0,5;0
151;4,16;28960,67;51;Div.Sol.Viu;LIMA_CALLAO;2;0,99;0
152;4,16;6188,74;28;Div.Sol.Viu;LIMA_CALLAO;1;1;0
153;4,16;11227,04;45;Div.Sol.Viu;LIMA_CALLAO;2;0,84;0
154;4,88;16975,89;57;Cas.Conv;LIMA_CALLAO;1;0,06;0
155;4,88;1359,89;27;Div.Sol.Viu;LIMA_CALLAO;1;0,23;0
156;4,88;696,75;27;Div.Sol.Viu;LIMA_CALLAO;1;1;0
157;4,16;8250,01;41;Div.Sol.Viu;LIMA_CALLAO;2;0,64;0
158;4,16;671,67;45;Div.Sol.Viu;LIMA_CALLAO;2;0,93;0
159;4,16;8092,79;39;Div.Sol.Viu;LIMA_CALLAO;1;1;0
160;4,88;1533,93;38;Div.Sol.Viu;LIMA_CALLAO;3;0,15;0
162;4,16;4845,42;59;Div.Sol.Viu;LIMA_CALLAO;1;0,42;0
163;4,16;14445,06;61;Cas.Conv;LIMA_CALLAO;1;1;0
164;4,16;680,91;25;Div.Sol.Viu;NORTE.SUR;1;1;0
165;4,16;39848,99;38;Div.Sol.Viu;LIMA_CALLAO;1;0,99;0
166;4,16;2674,06;33;Div.Sol.Viu;LIMA_CALLAO;2;0,91;0
167;4,16;7897,9;28;Div.Sol.Viu;LIMA_CALLAO;1;1;0
168;4,88;3473,01;25;Div.Sol.Viu;NORTE.SUR;2;0,83;0
169;4,16;515,3;27;Div.Sol.Viu;LIMA_CALLAO;1;1;0
170;4,16;3136,74;45;Cas.Conv;NORTE.SUR;1;0,98;0
171;4,16;4279,17;31;Div.Sol.Viu;LIMA_CALLAO;1;1;0
172;4,16;12561,25;57;Div.Sol.Viu;LIMA_CALLAO;1;1;0
174;4,16;7932,57;51;Div.Sol.Viu;LIMA_CALLAO;2;0,9;0
175;4,16;5062,71;37;Div.Sol.Viu;LIMA_CALLAO;1;1;0
176;4,16;4216,81;41;Div.Sol.Viu;LIMA_CALLAO;1;0,1;0
177;4,88;1422,44;59;Div.Sol.Viu;LIMA_CALLAO;3;0,05;0
178;4,88;1640,57;29;Div.Sol.Viu;NORTE.SUR;2;0,69;0
182;4,16;29747,44;36;Cas.Conv;LIMA_CALLAO;1;1;0
183;4,16;65037,45;62;Cas.Conv;LIMA_CALLAO;2;0,97;0
184;4,88;1928,18;65;Div.Sol.Viu;NORTE.SUR;1;1;0
185;4,88;832,49;33;Div.Sol.Viu;LIMA_CALLAO;1;1;0
186;4,16;9211,17;41;Div.Sol.Viu;LIMA_CALLAO;1;1;0
187;4,16;4260,46;50;Div.Sol.Viu;NORTE.SUR;1;1;0
188;4,88;3491,55;34;Div.Sol.Viu;NORTE.SUR;3;0,14;0
189;4,88;3717,6;37;Div.Sol.Viu;LIMA_CALLAO;2;0,46;0
190;4,16;9809,41;39;Div.Sol.Viu;NORTE.SUR;1;0,99;0
191;4,16;1358,08;49;Div.Sol.Viu;NORTE.SUR;1;1;0
192;4,16;3911,31;24;Div.Sol.Viu;LIMA_CALLAO;1;1;0
194;4,16;777,13;26;Div.Sol.Viu;LIMA_CALLAO;4;0,45;0
195;4,16;25743,77;49;Cas.Conv;LIMA_CALLAO;2;0,34;0
196;4,16;8316,88;55;Div.Sol.Viu;LIMA_CALLAO;3;0,94;0
197;4,88;27283,61;36;Cas.Conv;LIMA_CALLAO;2;0,08;0
198;4,16;5475,24;31;Cas.Conv;LIMA_CALLAO;1;1;0
199;4,88;653,51;37;Div.Sol.Viu;LIMA_CALLAO;1;1;0
200;4,16;2247,51;43;Cas.Conv;LIMA_CALLAO;1;0,97;0
201;4,16;2403,95;44;Cas.Conv;NORTE.SUR;1;0,79;0
202;4,88;1554,49;28;Div.Sol.Viu;LIMA_CALLAO;2;0,85;0
203;4,16;7906,57;38;Div.Sol.Viu;LIMA_CALLAO;4;0,29;0
204;4,16;33609,33;59;Div.Sol.Viu;NORTE.SUR;1;1;0
205;4,16;2643,08;26;Cas.Conv;LIMA_CALLAO;1;1;0
206;4,88;1726,2;49;Div.Sol.Viu;NORTE.SUR;1;1;0
207;4,88;670,05;20;Div.Sol.Viu;LIMA_CALLAO;1;1;0
208;4,88;760,25;25;Div.Sol.Viu;NORTE.SUR;1;0,6;0
209;4,16;32420,34;29;Div.Sol.Viu;LIMA_CALLAO;4;0,9;0
210;4,16;1003,55;44;Div.Sol.Viu;NORTE.SUR;2;0,79;0
211;4,16;3744,99;56;Div.Sol.Viu;LIMA_CALLAO;2;1;0
212;4,16;4678,54;34;Div.Sol.Viu;LIMA_CALLAO;1;0,45;0
213;4,16;1240,05;42;Cas.Conv;NORTE.SUR;1;0,69;0
214;4,16;13798,64;32;Cas.Conv;LIMA_CALLAO;3;0,9;0
215;4,16;3991,8;44;Cas.Conv;LIMA_CALLAO;4;0,95;0
216;4,88;2320,47;62;Cas.Conv;LIMA_CALLAO;2;0,15;0
217;4,88;585,35;27;Cas.Conv;NORTE.SUR;2;0,77;0
218;4,16;3730,54;36;Div.Sol.Viu;NORTE.SUR;3;1;0
219;4,16;4421,7;39;Div.Sol.Viu;LIMA_CALLAO;1;1;0
220;4,16;4246,53;42;Div.Sol.Viu;LIMA_CALLAO;1;0,99;0
221;4,16;5660,44;41;Cas.Conv;LIMA_CALLAO;1;0,79;0
222;4,16;2065,12;43;Div.Sol.Viu;NORTE.SUR;1;0,99;0
223;4,88;1862,74;43;Div.Sol.Viu;LIMA_CALLAO;2;0,2;0
224;4,88;4405,93;46;Cas.Conv;LIMA_CALLAO;1;0,08;0
225;4,16;4905,47;48;Div.Sol.Viu;LIMA_CALLAO;3;0,38;0
226;4,16;30224,93;33;Cas.Conv;LIMA_CALLAO;1;0,32;0
227;4,16;3271,13;25;Div.Sol.Viu;LIMA_CALLAO;1;1;0
228;4,16;1982,4;49;Div.Sol.Viu;NORTE.SUR;1;1;0
230;4,16;4084,6;51;Div.Sol.Viu;NORTE.SUR;2;1;0
231;4,88;565,98;23;Div.Sol.Viu;LIMA_CALLAO;2;0,77;0
232;4,88;2624,37;32;Cas.Conv;LIMA_CALLAO;2;1;0
233;4,16;650,48;43;Div.Sol.Viu;NORTE.SUR;1;0,46;0
234;4,88;2795,86;23;Div.Sol.Viu;LIMA_CALLAO;1;1;0
235;4,88;1163,13;22;Div.Sol.Viu;LIMA_CALLAO;1;1;0
236;4,16;9682,72;62;Cas.Conv;LIMA_CALLAO;1;0,62;0
237;4,16;18683,22;47;Div.Sol.Viu;LIMA_CALLAO;3;0,8;0
238;4,88;882,98;23;Div.Sol.Viu;NORTE.SUR;2;0,77;0
239;4,16;22522,48;40;Div.Sol.Viu;LIMA_CALLAO;4;0,36;0
240;4,16;1484,84;46;Div.Sol.Viu;NORTE.SUR;2;0,51;0
241;4,16;12197,73;57;Div.Sol.Viu;LIMA_CALLAO;3;0,82;0
242;4,16;2812,86;63;Cas.Conv;LIMA_CALLAO;1;1;0
243;4,88;11742,12;27;Div.Sol.Viu;LIMA_CALLAO;1;0,54;0
244;4,16;12690,48;46;Div.Sol.Viu;LIMA_CALLAO;1;1;0
245;4,88;2701,44;39;Div.Sol.Viu;NORTE.SUR;1;1;0
246;4,88;3354,24;27;Div.Sol.Viu;LIMA_CALLAO;2;0,77;0
247;4,16;6940,16;50;Div.Sol.Viu;NORTE.SUR;2;0,89;0
248;4,16;7337,4;59;Cas.Conv;LIMA_CALLAO;3;0,61;0
249;4,88;608,81;30;Div.Sol.Viu;NORTE.SUR;1;1;0
250;4,16;4529,92;40;Div.Sol.Viu;NORTE.SUR;1;1;0
251;4,88;614,49;37;Cas.Conv;NORTE.SUR;2;0,59;0
252;4,88;758,81;28;Div.Sol.Viu;NORTE.SUR;1;0,14;0
253;4,88;3591,15;55;Div.Sol.Viu;LIMA_CALLAO;1;0,96;0
254;4,88;536,65;27;Div.Sol.Viu;NORTE.SUR;1;1;0
255;4,16;18915,98;59;Cas.Conv;LIMA_CALLAO;2;0,16;0
256;4,16;15313,41;35;Div.Sol.Viu;LIMA_CALLAO;1;1;0
257;4,16;1212,94;43;Div.Sol.Viu;NORTE.SUR;1;1;0
258;4,16;6353,49;48;Div.Sol.Viu;LIMA_CALLAO;1;0,61;0
259;4,16;4132,53;59;Div.Sol.Viu;NORTE.SUR;1;0,99;0
261;4,16;1952,73;62;Cas.Conv;LIMA_CALLAO;3;0,16;0
262;4,16;7719,17;36;Div.Sol.Viu;LIMA_CALLAO;1;1;0
263;4,16;27355,57;43;Div.Sol.Viu;LIMA_CALLAO;3;0,62;0
264;4,88;1072,63;25;Div.Sol.Viu;LIMA_CALLAO;1;1;0
265;4,16;2417,36;45;Div.Sol.Viu;LIMA_CALLAO;2;1;0
266;4,16;1207,82;41;Div.Sol.Viu;LIMA_CALLAO;2;0,96;0
267;4,88;946,77;35;Div.Sol.Viu;LIMA_CALLAO;1;0,54;0
268;4,16;20337,82;41;Div.Sol.Viu;LIMA_CALLAO;1;1;0
269;4,88;2051,03;57;Cas.Conv;NORTE.SUR;2;0,19;0
270;4,16;79886,86;51;Div.Sol.Viu;LIMA_CALLAO;3;0,94;0
271;4,16;6176,08;34;Div.Sol.Viu;NORTE.SUR;3;0,26;0
272;4,16;7468,89;44;Div.Sol.Viu;LIMA_CALLAO;3;0,76;0
273;4,16;10583,6;32;Div.Sol.Viu;LIMA_CALLAO;1;1;0
274;4,88;1958,65;38;Div.Sol.Viu;CENTRO;2;0,13;0
275;4,88;966,67;50;Div.Sol.Viu;LIMA_CALLAO;1;1;0
276;4,16;6251,8;56;Div.Sol.Viu;LIMA_CALLAO;1;0,95;0
277;4,16;10888,77;35;Div.Sol.Viu;LIMA_CALLAO;1;1;0
278;4,88;1204,4;50;Div.Sol.Viu;LIMA_CALLAO;1;1;0
279;4,16;4166,01;45;Div.Sol.Viu;LIMA_CALLAO;1;1;0
280;4,16;13396,98;53;Cas.Conv;LIMA_CALLAO;1;0,14;0
281;4,16;5702,69;41;Div.Sol.Viu;LIMA_CALLAO;1;0,8;0
282;4,88;1152,04;27;Div.Sol.Viu;NORTE.SUR;2;1;0
283;4,16;3851,06;33;Div.Sol.Viu;LIMA_CALLAO;1;1;0
284;4,16;7746,76;25;Div.Sol.Viu;LIMA_CALLAO;1;1;0
285;4,88;1147,89;20;Div.Sol.Viu;LIMA_CALLAO;1;1;0
286;4,16;8572,91;50;Div.Sol.Viu;LIMA_CALLAO;3;0,96;0
287;4,88;2031,46;59;Cas.Conv;NORTE.SUR;2;0,14;0
288;4,16;12698,03;59;Cas.Conv;LIMA_CALLAO;2;0,3;0
290;4,88;905,45;38;Div.Sol.Viu;LIMA_CALLAO;3;0,08;0
291;4,16;14472,43;40;Div.Sol.Viu;LIMA_CALLAO;3;1;0
292;4,16;10910,21;33;Cas.Conv;LIMA_CALLAO;2;0,32;0
293;4,16;5269,93;36;Div.Sol.Viu;LIMA_CALLAO;1;1;0
294;4,16;8968,85;28;Div.Sol.Viu;CENTRO;3;0,44;0
295;4,88;914,71;40;Div.Sol.Viu;LIMA_CALLAO;2;1;0
296;4,16;5658,26;31;Div.Sol.Viu;LIMA_CALLAO;1;0,95;0
297;4,88;3579,54;42;Div.Sol.Viu;LIMA_CALLAO;2;1;0
298;4,88;569,03;22;Div.Sol.Viu;LIMA_CALLAO;1;1;0
299;4,16;2424,75;40;Cas.Conv;NORTE.SUR;1;1;0
300;4,16;11359,25;44;Cas.Conv;NORTE.SUR;1;0,65;0
301;4,16;24866,44;33;Div.Sol.Viu;LIMA_CALLAO;3;0,65;0
302;4,16;49190,85;39;Div.Sol.Viu;LIMA_CALLAO;1;1;0
303;4,16;42393,41;33;Cas.Conv;LIMA_CALLAO;3;0,61;0
304;4,16;2111,49;43;Div.Sol.Viu;LIMA_CALLAO;1;1;0
305;4,16;12429,83;54;Div.Sol.Viu;LIMA_CALLAO;4;0,86;0
306;4,88;2170,4;32;Div.Sol.Viu;LIMA_CALLAO;1;1;0
307;4,16;784,28;42;Div.Sol.Viu;NORTE.SUR;1;1;0
309;4,16;801,5;32;Div.Sol.Viu;LIMA_CALLAO;3;1;0
310;4,16;2611,54;45;Div.Sol.Viu;LIMA_CALLAO;1;0,8;0
311;4,88;8774,5;28;Div.Sol.Viu;LIMA_CALLAO;2;0,58;0
312;4,16;6387,04;41;Div.Sol.Viu;LIMA_CALLAO;1;1;0
313;4,88;7568,64;52;Div.Sol.Viu;LIMA_CALLAO;1;0,2;0
314;4,88;1847,35;40;Div.Sol.Viu;LIMA_CALLAO;1;0,51;0
315;4,16;10306,97;45;Div.Sol.Viu;LIMA_CALLAO;2;0,17;0
316;4,16;5698,82;46;Div.Sol.Viu;CENTRO;2;0,92;0
317;4,88;1063,2;40;Cas.Conv;LIMA_CALLAO;3;0,85;0
318;4,16;11314,21;48;Div.Sol.Viu;LIMA_CALLAO;1;0,45;0
319;4,16;2478,53;42;Div.Sol.Viu;LIMA_CALLAO;2;0,27;0
320;4,88;1439,08;29;Div.Sol.Viu;LIMA_CALLAO;2;1;0
321;4,88;682,68;34;Cas.Conv;NORTE.SUR;2;0,63;0
322;4,16;3737,74;37;Div.Sol.Viu;LIMA_CALLAO;2;0,77;0
323;4,16;7703,71;36;Div.Sol.Viu;LIMA_CALLAO;1;1;0
324;4,16;17544,57;56;Cas.Conv;LIMA_CALLAO;4;0,56;0
325;4,88;2095,82;31;Div.Sol.Viu;LIMA_CALLAO;1;1;0
326;4,88;2259,44;24;Div.Sol.Viu;LIMA_CALLAO;2;0,69;0
327;4,16;12528,72;22;Div.Sol.Viu;LIMA_CALLAO;1;0,42;0
328;4,16;1689,38;24;Div.Sol.Viu;NORTE.SUR;1;0,99;0
329;4,88;925,48;37;Cas.Conv;LIMA_CALLAO;1;1;0
330;4,16;1578,06;37;Div.Sol.Viu;CENTRO;1;0,7;0
331;4,16;5011,56;44;Div.Sol.Viu;LIMA_CALLAO;1;1;0
332;4,16;1910,47;37;Div.Sol.Viu;LIMA_CALLAO;2;1;0
333;4,16;1189,05;54;Cas.Conv;NORTE.SUR;1;0,98;0
334;4,88;1102,74;25;Div.Sol.Viu;LIMA_CALLAO;2;0,53;0
336;4,88;920,49;44;Cas.Conv;CENTRO;1;1;0
337;4,16;15901,74;39;Div.Sol.Viu;LIMA_CALLAO;1;0,11;0
338;4,16;6659,85;61;Div.Sol.Viu;NORTE.SUR;3;0,93;0
339;4,16;1862,8;44;Div.Sol.Viu;LIMA_CALLAO;2;1;0
340;4,88;14920,09;46;Div.Sol.Viu;LIMA_CALLAO;2;0,54;0
341;4,88;967,19;28;Div.Sol.Viu;LIMA_CALLAO;2;1;0
342;4,88;3642,2;41;Cas.Conv;LIMA_CALLAO;2;0,18;0
343;4,16;51064,51;64;Cas.Conv;LIMA_CALLAO;2;0,86;0
344;4,88;1394,8;45;Div.Sol.Viu;LIMA_CALLAO;1;0,99;0
345;4,88;1023,82;25;Div.Sol.Viu;CENTRO;1;1;0
346;4,16;741,59;37;Div.Sol.Viu;LIMA_CALLAO;1;1;0
348;4,16;17016,32;27;Div.Sol.Viu;NORTE.SUR;1;1;0
349;4,16;3216,47;33;Cas.Conv;LIMA_CALLAO;1;0,27;0
350;4,16;3828,86;33;Div.Sol.Viu;LIMA_CALLAO;1;0,99;0
351;4,16;1531,55;39;Div.Sol.Viu;NORTE.SUR;1;0,99;0
352;4,16;2595,5;39;Cas.Conv;NORTE.SUR;1;1;0
353;4,16;26674,26;46;Div.Sol.Viu;LIMA_CALLAO;4;0,97;0
354;4,16;1784,62;51;Div.Sol.Viu;LIMA_CALLAO;1;1;0
355;4,88;925,86;25;Div.Sol.Viu;NORTE.SUR;2;1;0
356;4,16;2966,54;54;Div.Sol.Viu;LIMA_CALLAO;2;0,38;0
357;4,16;10636,15;27;Div.Sol.Viu;LIMA_CALLAO;1;0,94;0
358;4,16;3874,7;24;Div.Sol.Viu;LIMA_CALLAO;1;1;0
359;4,16;2073,28;48;Div.Sol.Viu;NORTE.SUR;1;1;0
360;4,16;2451,23;43;Div.Sol.Viu;CENTRO;2;0,46;0
361;4,16;7793,38;48;Div.Sol.Viu;NORTE.SUR;1;1;0
362;4,16;1075,9;49;Div.Sol.Viu;NORTE.SUR;1;0,65;0
363;4,16;20754,8;39;Div.Sol.Viu;LIMA_CALLAO;1;1;0
364;4,16;25037,77;61;Div.Sol.Viu;LIMA_CALLAO;2;0,54;0
365;4,88;916,22;45;Cas.Conv;LIMA_CALLAO;2;0,85;0
